Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
100	-357.8231	-447.1467	89.32363	348525.1	0.0323952	0.0455059	0.182532	0.0196431	0.0551901	0.0318802	0.0462068	0.0360221	0.0473482	0.0381104	0.0501406	0.115805	0.00761976	0.0694869	0.0155648	0.036502	0.0523629	0.0105941	0.0178097	0.0964589	0.00709489	0.0373091	0.0463969	0.0951277	0.0376976	0.0351541	0.0165628	0.0140042	0.0761966	0.0273722	0.02039	0.0204481	0.150616	0.059667	0.0367436	0.0723085	0.0230029	0.0428798	0.0146871	0.0783537	0.0136741	0.0497605	0.0116345	0.0769092	0.00324565	0.111345	0.101356	0.0076205	0.0452313	0.0369629	0.0138324	0.0673455	11.3376	0.997848	0.999449	1.00055	1.00215	11.3376	151.0439	0.05057368	-3.461609	0.9770208	0.9545696
110	-338.5653	-424.7901	86.22482	454205.7	0.0434228	0.0514716	0.211361	0.0200508	0.167742	0.0243749	0.112611	0.0113813	0.0362061	0.0125404	0.0546809	0.175831	0.00749649	0.0261358	0.0183969	0.0331096	0.0160527	0.0261964	0.0209622	0.174186	0.0085579	0.0208232	0.0187947	0.18292	0.0593506	0.0434854	0.010972	0.0280356	0.0145969	0.0823675	0.016136	0.0154391	0.122949	0.0499502	0.014136	0.0353098	0.070535	0.0783808	0.00807815	0.215809	0.01085	0.0673272	0.0071282	0.0346246	0.0110009	0.0591991	0.0177688	0.0152433	0.0159194	0.0284845	0.0122576	0.0921443	11.32218	0.998115	0.999518	1.00048	1.00189	11.32218	158.3957	0.06643176	-3.208937	0.9973534	0.9947139
120	-348.3441	-424.7712	76.42713	429315.2	0.0206699	0.0443371	0.274143	0.0108959	0.248391	0.0134564	0.222338	0.0105731	0.00876116	0.0382479	0.0132772	0.25731	0.020332	0.0476302	0.00686802	0.0668709	0.0217218	0.0137903	0.0314909	0.222503	0.00903333	0.0313231	0.0132273	0.211202	0.0442984	0.0589579	0.0111478	0.0362789	0.040935	0.0129249	0.02164	0.0129719	0.249235	0.159456	0.0114987	0.075814	0.0260284	0.077621	0.00178803	0.0665748	0.00340004	0.0190496	0.0369042	0.134244	0.0068493	0.033719	0.00526343	0.0131135	0.0134907	0.0321222	0.0385211	0.216021	11.35304	0.998061	0.999504	1.00049	1.00194	11.35304	155.7347	0.0669885	-3.420191	1.197461	1.433913
130	-351.8079	-433.85	82.04211	486386.6	0.0218775	0.0247791	0.512888	0.00398963	0.240374	0.0142327	0.279215	0.0558957	0.00907986	0.00278983	0.00808566	0.0428559	0.0064084	0.064446	0.00997862	0.0285326	0.0172683	0.0163521	0.0206327	0.163789	0.0251681	0.0640852	0.0102016	0.16345	0.108278	0.0369882	0.0209403	0.00561597	0.0209865	0.0209081	0.0228253	0.0105854	0.236412	0.0435838	0.0179857	0.062737	0.02246	0.086617	0.00906034	0.0340436	0.0453667	0.00434294	0.0147591	0.010188	0.0197005	0.0548501	0.0264027	0.160934	0.027795	0.0848397	0.0341268	0.0209505	11.3691	0.998178	0.999534	1.00046	1.00182	11.3691	160.2495	0.07198159	-3.29293	1.150291	1.32317
140	-342.141	-436.0657	93.92467	674608.3	0.0287167	0.0441159	0.11653	0.0121958	0.139506	0.0164603	0.0271448	0.0203842	0.00402335	0.0317765	0.0243952	0.00235331	0.0224799	0.0431121	0.00710828	0.0491865	0.0129688	0.00939302	0.0230687	0.326981	0.0200737	0.0361276	0.026075	0.186163	0.0814187	0.0453668	0.0429015	0.03743	0.0330106	0.0437255	0.0139915	0.0085554	0.0648076	0.0607944	0.0212218	0.0420622	0.0242862	0.0687076	0.0137697	0.0126351	0.084475	0.0176909	0.0603406	0.0198424	0.0127168	0.00897478	0.0137383	0.0809838	0.112625	0.0589817	0.00843656	0.0217255	11.33843	0.998453	0.999604	1.00039	1.00155	11.33843	165.3321	0.03758345	-3.650325	0.859225	0.7382676
150	-348.8174	-438.5037	89.68636	371426.5	0.0265557	0.0235536	0.197777	0.0191916	0.185781	0.0360315	0.0350823	0.0209231	0.00451694	0.0153015	0.0192759	0.0080265	0.0382295	0.0279745	0.00818635	0.0683559	0.0275427	0.0170103	0.0214313	0.272999	0.00544097	0.017277	0.0182635	0.146343	0.055559	0.0526472	0.0319667	0.0137441	0.0341919	0.0896606	0.0342789	0.0104385	0.061629	0.124867	0.0142785	0.0304876	0.0111261	0.0641486	0.0168903	0.00687117	0.0547293	0.140797	0.104416	0.00640085	0.0376873	0.0321823	0.00530143	0.0894713	0.074418	0.00985675	0.0120008	0.0512436	11.31341	0.997915	0.999467	1.00053	1.00209	11.31341	153.9959	0.04228016	-3.567817	0.8993104	0.8087591
160	-342.306	-432.304	89.99805	917218.3	0.0536068	0.0198501	0.067347	0.0260435	0.114636	0.0208211	0.120717	0.0572331	0.0199499	0.0206892	0.0318465	0.0181647	0.0241966	0.0382657	0.0213321	0.0481349	0.1338	0.0318258	0.0100687	0.160534	0.00662546	0.0530418	0.036163	0.294244	0.0663776	0.0498729	0.0103665	0.0139852	0.113192	0.0633021	0.0291793	0.02245	0.0322753	0.0156202	0.0112515	0.0142225	0.0338941	0.0130344	0.0304795	0.00218019	0.0793823	0.028349	0.03827	0.0637224	0.0624059	0.019834	0.00641465	0.0677062	0.0661799	0.00849698	0.0120115	0.0329282	11.32701	0.998673	0.999661	1.00034	1.00133	11.32701	147.9666	0.03600638	-3.667847	0.8292021	0.6875762
170	-343.3381	-425.8937	82.55554	830024	0.0355204	0.014663	0.241912	0.0742103	0.083945	0.0329163	0.359232	0.0352627	0.0124242	0.0364621	0.0371793	0.0152661	0.0117208	0.0251859	0.0361209	0.0448854	0.0402864	0.00816685	0.00667287	0.584012	0.00605647	0.024364	0.0199068	0.262475	0.00562675	0.0594562	0.0206064	0.0144096	0.043136	0.0816362	0.0225609	0.0330202	0.0315764	0.0197374	0.0109343	0.020671	0.0547145	0.00661898	0.0345591	0.0024699	0.0573948	0.0724211	0.0168772	0.185113	0.0818441	0.0396352	0.0134278	0.0531556	0.0850485	0.0125979	0.0103993	0.0134094	11.28811	0.998605	0.999643	1.00036	1.0014	11.28811	147.6553	0.05765854	-3.337324	0.9839791	0.9682148
180	-342.3505	-444.0515	101.701	336573.8	0.0773555	0.0128	0.15001	0.0314954	0.0417093	0.0760024	0.126935	0.0184773	0.0246497	0.017632	0.0180601	0.00849063	0.00671025	0.0147474	0.0489666	0.0195308	0.0201662	0.0185009	0.00589617	0.0873383	0.0130497	0.021329	0.00910926	0.20267	0.00856085	0.023313	0.0149161	0.00956131	0.0186589	0.0286621	0.00416529	0.0384538	0.00537203	0.0338853	0.0181454	0.0332735	0.0569385	0.0123325	0.0243586	0.00302391	0.0470341	0.0588185	0.0354203	0.114484	0.0148267	0.0879664	0.00998618	0.0678385	0.0548382	0.0288702	0.0609727	0.0203552	11.27056	0.99781	0.99944	1.00056	1.00219	11.27056	151.3839	0.04419504	-3.558539	0.9374398	0.8787933
190	-338.0663	-434.929	96.86269	271171.1	0.0651691	0.0260054	0.147156	0.0305119	0.0580739	0.0265999	0.298882	0.0099919	0.0247438	0.0276416	0.0116009	0.00569908	0.00469968	0.0116046	0.0257156	0.0395728	0.00672913	0.0412148	0.00865544	0.0804802	0.00477699	0.0180627	0.0057674	0.141523	0.00393719	0.0518223	0.0153839	0.00829518	0.0347929	0.0488985	0.011797	0.0600132	0.0173175	0.441888	0.00388079	0.0442583	0.0309472	0.0108652	0.0158301	0.0390225	0.0666556	0.0414897	0.0284526	0.0518108	0.0107591	0.0394999	0.0156217	0.0566426	0.062971	0.014995	0.00832693	0.0127373	11.26299	0.99756	0.999375	1.00062	1.00244	11.26299	156.4866	0.03917156	-3.694816	0.9539513	0.9100231
