Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
10	0	-361.4141	-439.8097	78.39558	22630.32	0.0279415	0.0749438	0.0542593	0.10025	0.0886784	0.0381052	0.00879925	0.0397079	0.0350181	0.0713134	0.115007	0.0302164	0.0158395	0.0409107	0.0472072	0.166529	0.0407259	0.0896789	0.107389	0.220938	0.00316879	0.0124112	0.0350983	0.329906	0.0295378	0.256154	0.0213095	0.0163019	0.0242501	0.119498	0.0277328	0.0223601	0.0181408	0.045833	0.00546899	0.0554925	0.0358614	0.0814456	0.0411633	0.0828772	0.0142168	0.0413945	0.0190237	0.0399735	0.0285699	0.0139716	0.0526139	0.0256534	0.153618	0.021594	0.0560028	0.0256508	11.36598	0.991563	0.997829	1.00215	1.00846	11.36598	106.6662	0.06095124	-3.186357	0.8816755	0.7773517
11	1	-359.4988	-455.1387	95.63985	542501.7	0.0622496	0.112566	0.0791329	0.120732	0.0971559	0.112724	0.082281	0.0735609	0.106746	0.0856442	0.0545785	0.114701	0.0571462	0.169654	0.100473	0.104578	0.0859614	0.0898008	0.0795218	0.0760742	0.0858738	0.130696	0.115552	0.0634577	0.0679634	0.189862	0.109693	0.108862	0.150837	0.0704667	0.104723	0.0950767	0.062375	0.0921249	0.076553	0.0980665	0.111642	0.0641522	0.062902	0.0816612	0.0821799	0.0681633	0.0991237	0.0799577	0.0497166	0.0886816	0.0939191	0.0833906	0.120682	0.0773573	0.0641639	0.116518	13.81343	0.998275	0.999559	1.00044	1.00173	13.81343	85.85067	0.0958625	-2.38638	0.2882355	0.08307972
12	0	-359.7691	-429.312	69.5429	88612.51	0.0212798	0.0546551	0.269083	0.313746	0.0930239	0.0412053	0.359399	0.0248356	0.0394623	0.0585184	0.028873	0.0439637	0.00363074	0.039578	0.0234252	0.0482554	0.0115168	0.260747	0.0209932	0.182898	0.00577562	0.00934041	0.0149486	0.409155	0.0243476	0.288029	0.0131779	0.00729346	0.00302012	0.0849624	0.0401915	0.064114	0.100524	0.00953605	0.00279051	0.0873079	0.0332432	0.0469582	0.0250764	0.0531161	0.029246	0.0127316	0.0572573	0.0915488	0.0317386	0.0447918	0.033121	0.00582582	0.0730243	0.0307129	0.00859744	0.0265807	11.35952	0.995733	0.998906	1.00109	1.00427	11.35952	140.3961	0.08913667	-3.199037	1.250162	1.562905
13	1	-371.1715	-463.0648	91.89332	57772.29	0.0548064	0.0610289	0.0494894	0.0702305	0.0517781	0.0318203	0.0556002	0.0600303	0.126606	0.0588012	0.118413	0.0506491	0.0684451	0.122703	0.0467807	0.126104	0.0313869	0.112114	0.0653445	0.116756	0.124426	0.04246	0.0531625	0.0298012	0.063205	0.101359	0.0661804	0.0752645	0.0707881	0.130605	0.06294	0.100132	0.0761375	0.0831685	0.0484064	0.0590973	0.0420953	0.0762304	0.0607615	0.0899833	0.0290974	0.0872491	0.0603728	0.0974573	0.0832018	0.116117	0.0590685	0.0620711	0.0503008	0.0570778	0.0653985	0.0705761	13.80197	0.994717	0.998644	1.00135	1.00529	13.80197	116.9343	0.07703473	-2.623502	0.34642	0.1200068
14	0	-356.915	-440.4881	83.57307	68378.84	0.00830763	0.0346197	0.0955873	0.0537958	0.091973	0.0186925	0.0860804	0.0287575	0.110665	0.0854561	0.0385322	0.0335918	0.0109363	0.0218689	0.0429599	0.06246	0.0121374	0.0234033	0.0208565	0.1389	0.00500369	0.0229386	0.0472447	0.267056	0.0119309	0.0995994	0.0561837	0.0337011	0.108931	0.0599142	0.0172905	0.0367924	0.04542	0.0174536	0.0172399	0.0488483	0.0339843	0.108379	0.046203	0.102777	0.0312065	0.0238043	0.00518979	0.0766751	0.0420752	0.0840911	0.0691531	0.0157767	0.13351	0.020581	0.030265	0.0740678	11.35253	0.995143	0.998754	1.00124	1.00487	11.35253	143.0404	0.06403064	-3.184103	0.9334984	0.8714193
15	1	-350.339	-447.6727	97.33366	651555	0.0708026	0.0840895	0.0300587	0.0572644	0.0611069	0.059426	0.0632056	0.058078	0.0815764	0.0332933	0.022279	0.0429008	0.0396049	0.101385	0.0742932	0.0524517	0.0371983	0.0602727	0.0596594	0.107938	0.0502352	0.0641895	0.0982005	0.0453941	0.118753	0.117383	0.0672661	0.0686839	0.0524873	0.0776866	0.0680084	0.0778091	0.0550994	0.0239269	0.0453351	0.0447747	0.068117	0.0925032	0.0845758	0.0503637	0.0306307	0.0346884	0.0500875	0.0281801	0.0573022	0.094633	0.079088	0.0829958	0.051741	0.0523753	0.0260259	0.0498016	13.80516	0.998426	0.999597	1.0004	1.00158	13.80516	116.9636	0.05526068	-2.962162	0.3646036	0.1329358
16	0	-344.7656	-436.7241	91.9585	124714.8	0.0409599	0.0561495	0.372286	0.0670981	0.0987051	0.0270825	0.0151955	0.0297508	0.0562695	0.057476	0.0244614	0.0255775	0.00883825	0.020409	0.0380359	0.0264977	0.0509176	0.0414218	0.0173465	0.137184	0.0101152	0.020513	0.025119	0.235397	0.00304927	0.0331394	0.00753102	0.0273057	0.035224	0.0137004	0.0167978	0.0621787	0.191205	0.0173984	0.0132482	0.031143	0.0158273	0.0923324	0.0144062	0.0063105	0.0180557	0.0154743	0.00614625	0.0687662	0.020729	0.0400134	0.0662598	0.0328738	0.0750193	0.00979886	0.0213336	0.0871695	11.35639	0.996403	0.999078	1.00092	1.0036	11.35639	155.7595	0.04624369	-3.488087	0.9102269	0.828513
17	1	-351.6198	-452.3594	100.7396	597789	0.0479319	0.0721835	0.0340905	0.0648568	0.0535999	0.0862015	0.0601404	0.0652661	0.0660436	0.0602477	0.0339958	0.0563355	0.0459591	0.135015	0.0263829	0.0473154	0.0307508	0.0427824	0.0327201	0.0907597	0.0521992	0.0457303	0.119328	0.0276505	0.0872499	0.0661572	0.0617992	0.042726	0.0193889	0.0392265	0.0362194	0.0300084	0.055279	0.0582807	0.0587168	0.0197277	0.0533736	0.0913855	0.0240907	0.0348518	0.0722382	0.0396823	0.0441657	0.0591558	0.0625094	0.0345702	0.0583024	0.0906418	0.0514318	0.109089	0.0855069	0.0634677	13.8231	0.998356	0.99958	1.00042	1.00164	13.8231	134.9545	0.05768894	-2.93535	0.4065965	0.1653207
18	0	-356.8792	-444.4106	87.53137	135730.8	0.0440803	0.0540795	0.16803	0.0854939	0.0708397	0.0104507	0.00921301	0.0413962	0.0275325	0.0114214	0.0258169	0.0370725	0.021648	0.0222892	0.0309523	0.0389099	0.014192	0.0177355	0.0463504	0.269539	0.00860447	0.0669142	0.0379625	0.0896811	0.00784116	0.048364	0.00623034	0.0253176	0.119308	0.0242807	0.0248669	0.0343179	0.0461289	0.0675828	0.105897	0.0285065	0.0223118	0.0436234	0.0110177	0.178393	0.0181856	0.0304776	0.0191791	0.124575	0.0265935	0.0665364	0.0605351	0.00205075	0.0882694	0.0179088	0.0249291	0.0750737	11.36556	0.996552	0.999117	1.00088	1.00345	11.36556	156.6185	0.04859392	-3.409673	0.8779701	0.7708315
19	1	-330.3877	-431.8333	101.4457	414870.2	0.0811953	0.0395615	0.0168833	0.0845293	0.060685	0.0263428	0.0532355	0.0372358	0.0576502	0.0125497	0.0317665	0.0207475	0.0115302	0.115038	0.0308353	0.0174777	0.0207025	0.0184446	0.0208356	0.0538779	0.0254247	0.0350108	0.0323338	0.035766	0.0773125	0.0601871	0.0267129	0.0212335	0.0201033	0.0424731	0.107348	0.0317818	0.0334864	0.0458752	0.0322141	0.0100341	0.0224747	0.0473955	0.0197244	0.0117703	0.0554674	0.0292761	0.103333	0.0188737	0.00572604	0.0250153	0.0164028	0.0715947	0.0186328	0.0551411	0.0336925	0.0483067	13.82824	0.998027	0.999495	1.0005	1.00197	13.82824	167.3749	0.05059914	-3.305762	0.8024225	0.6438819
