Iteration	Posterior	Likelihood	Prior	alpha_morpho	branch_rate_var[1]	branch_rate_var[2]	branch_rate_var[3]	branch_rate_var[4]	branch_rate_var[5]	branch_rate_var[6]	branch_rate_var[7]	branch_rate_var[8]	branch_rate_var[9]	branch_rate_var[10]	branch_rate_var[11]	branch_rate_var[12]	branch_rate_var[13]	branch_rate_var[14]	branch_rate_var[15]	branch_rate_var[16]	branch_rate_var[17]	branch_rate_var[18]	branch_rate_var[19]	branch_rate_var[20]	branch_rate_var[21]	branch_rate_var[22]	branch_rate_var[23]	branch_rate_var[24]	branch_rate_var[25]	branch_rate_var[26]	branch_rate_var[27]	branch_rate_var[28]	branch_rate_var[29]	branch_rate_var[30]	branch_rate_var[31]	branch_rate_var[32]	branch_rate_var[33]	branch_rate_var[34]	branch_rate_var[35]	branch_rate_var[36]	branch_rate_var[37]	branch_rate_var[38]	branch_rate_var[39]	branch_rate_var[40]	branch_rate_var[41]	branch_rate_var[42]	branch_rate_var[43]	branch_rate_var[44]	branch_rate_var[45]	branch_rate_var[46]	branch_rate_var[47]	branch_rate_var[48]	branch_rate_var[49]	branch_rate_var[50]	branch_rate_var[51]	branch_rate_var[52]	origin_time	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	Root_age	tree_length	ucln_mean	ucln_mu	ucln_sigma	ucln_var
0	-645.7136	-759.3113	113.5977	906540.2	0.121891	0.10264	0.0892873	0.118411	0.120209	0.0951832	0.105382	0.113617	0.141424	0.111408	0.13963	0.0884157	0.101316	0.108351	0.120851	0.113539	0.120729	0.102629	0.139655	0.128071	0.0737307	0.103203	0.147032	0.0989986	0.0979399	0.123495	0.120942	0.141401	0.104305	0.113007	0.14892	0.105673	0.114014	0.113715	0.0926554	0.118378	0.120791	0.122727	0.173905	0.103298	0.0991654	0.113632	0.10645	0.135645	0.119027	0.13485	0.107898	0.120308	0.124949	0.0839526	0.116268	0.0933403	13.81303	0.998665	0.999659	1.00034	1.00134	13.81303	183.9069	0.1149971	-2.17595	0.1618786	0.02620469
10	-378.4188	-496.0729	117.6541	723864	0.135261	0.12333	0.147439	0.0927401	0.103242	0.135614	0.111624	0.116131	0.106293	0.106374	0.117953	0.119666	0.0894741	0.127623	0.0971111	0.113027	0.0979681	0.119266	0.114731	0.13463	0.0959147	0.0942181	0.0856022	0.12774	0.120673	0.109326	0.0853548	0.10175	0.115942	0.0960191	0.0934708	0.0975221	0.119289	0.108371	0.0948178	0.0944498	0.104255	0.0972947	0.119015	0.12493	0.110101	0.0794031	0.0914849	0.0917965	0.11571	0.125124	0.0811845	0.0961636	0.135122	0.13247	0.0823532	0.116095	13.84135	0.998506	0.999618	1.00038	1.00149	13.84135	66.08382	0.1120139	-2.201389	0.1565692	0.0245139
20	-339.548	-464.3343	124.7863	635304.3	0.121146	0.127866	0.0939791	0.110233	0.101675	0.10405	0.112217	0.0975104	0.0990794	0.11966	0.133749	0.106569	0.12008	0.131212	0.0981861	0.103778	0.115757	0.118006	0.127999	0.126286	0.0953547	0.114844	0.109645	0.0961153	0.108249	0.12401	0.0987583	0.118494	0.107363	0.0920795	0.125134	0.124538	0.0970586	0.139956	0.10324	0.105115	0.125049	0.109988	0.106256	0.0939747	0.100674	0.103102	0.126244	0.0760084	0.120476	0.129395	0.0921621	0.0985658	0.127074	0.104366	0.135785	0.128326	13.85188	0.998406	0.999592	1.00041	1.0016	13.85188	69.08295	0.113016	-2.191164	0.14791	0.02187738
30	-352.751	-460.1176	107.3666	526992.9	0.110071	0.153402	0.0828072	0.105647	0.139787	0.154419	0.147388	0.115311	0.137676	0.0937011	0.0982127	0.083858	0.121059	0.123497	0.100865	0.126874	0.110921	0.0941316	0.0826569	0.160685	0.108193	0.115235	0.10234	0.138343	0.127514	0.112612	0.0877771	0.100598	0.120756	0.0872705	0.101064	0.110704	0.109851	0.137467	0.132009	0.123806	0.107726	0.123631	0.0914036	0.0956995	0.141905	0.103931	0.120224	0.123262	0.136201	0.11172	0.126949	0.13774	0.103951	0.0845336	0.122277	0.0914172	13.85125	0.99825	0.999552	1.00045	1.00175	13.85125	75.22087	0.113016	-2.192054	0.1538075	0.02365673
40	-349.3984	-462.2463	112.8479	701135	0.0786218	0.111264	0.113526	0.104514	0.132955	0.0955936	0.0962457	0.115623	0.129164	0.116008	0.0824177	0.127552	0.103897	0.12089	0.072296	0.103328	0.110107	0.10305	0.10261	0.136208	0.0813992	0.0798404	0.102224	0.0805877	0.109024	0.101957	0.102532	0.106889	0.12436	0.0918464	0.0866071	0.0927828	0.126694	0.109762	0.0942221	0.112051	0.0698395	0.0934791	0.123348	0.0945139	0.149468	0.0905947	0.104503	0.0874704	0.116149	0.127469	0.116819	0.102005	0.1091	0.0834165	0.0976267	0.133796	13.85732	0.998482	0.999612	1.00039	1.00152	13.85732	84.25362	0.1080039	-2.237078	0.1515947	0.02298094
50	-359.4988	-455.1387	95.63985	542501.7	0.0622496	0.112566	0.0791329	0.120732	0.0971559	0.112724	0.082281	0.0735609	0.106746	0.0856442	0.0545785	0.114701	0.0571462	0.169654	0.100473	0.104578	0.0859614	0.0898008	0.0795218	0.0760742	0.0858738	0.130696	0.115552	0.0634577	0.0679634	0.189862	0.109693	0.108862	0.150837	0.0704667	0.104723	0.0950767	0.062375	0.0921249	0.076553	0.0980665	0.111642	0.0641522	0.062902	0.0816612	0.0821799	0.0681633	0.0991237	0.0799577	0.0497166	0.0886816	0.0939191	0.0833906	0.120682	0.0773573	0.0641639	0.116518	13.81343	0.998275	0.999559	1.00044	1.00173	13.81343	85.85067	0.0958625	-2.38638	0.2882355	0.08307972
60	-371.1715	-463.0648	91.89332	57772.29	0.0548064	0.0610289	0.0494894	0.0702305	0.0517781	0.0318203	0.0556002	0.0600303	0.126606	0.0588012	0.118413	0.0506491	0.0684451	0.122703	0.0467807	0.126104	0.0313869	0.112114	0.0653445	0.116756	0.124426	0.04246	0.0531625	0.0298012	0.063205	0.101359	0.0661804	0.0752645	0.0707881	0.130605	0.06294	0.100132	0.0761375	0.0831685	0.0484064	0.0590973	0.0420953	0.0762304	0.0607615	0.0899833	0.0290974	0.0872491	0.0603728	0.0974573	0.0832018	0.116117	0.0590685	0.0620711	0.0503008	0.0570778	0.0653985	0.0705761	13.80197	0.994717	0.998644	1.00135	1.00529	13.80197	116.9343	0.07703473	-2.623502	0.34642	0.1200068
70	-350.339	-447.6727	97.33366	651555	0.0708026	0.0840895	0.0300587	0.0572644	0.0611069	0.059426	0.0632056	0.058078	0.0815764	0.0332933	0.022279	0.0429008	0.0396049	0.101385	0.0742932	0.0524517	0.0371983	0.0602727	0.0596594	0.107938	0.0502352	0.0641895	0.0982005	0.0453941	0.118753	0.117383	0.0672661	0.0686839	0.0524873	0.0776866	0.0680084	0.0778091	0.0550994	0.0239269	0.0453351	0.0447747	0.068117	0.0925032	0.0845758	0.0503637	0.0306307	0.0346884	0.0500875	0.0281801	0.0573022	0.094633	0.079088	0.0829958	0.051741	0.0523753	0.0260259	0.0498016	13.80516	0.998426	0.999597	1.0004	1.00158	13.80516	116.9636	0.05526068	-2.962162	0.3646036	0.1329358
80	-351.6198	-452.3594	100.7396	597789	0.0479319	0.0721835	0.0340905	0.0648568	0.0535999	0.0862015	0.0601404	0.0652661	0.0660436	0.0602477	0.0339958	0.0563355	0.0459591	0.135015	0.0263829	0.0473154	0.0307508	0.0427824	0.0327201	0.0907597	0.0521992	0.0457303	0.119328	0.0276505	0.0872499	0.0661572	0.0617992	0.042726	0.0193889	0.0392265	0.0362194	0.0300084	0.055279	0.0582807	0.0587168	0.0197277	0.0533736	0.0913855	0.0240907	0.0348518	0.0722382	0.0396823	0.0441657	0.0591558	0.0625094	0.0345702	0.0583024	0.0906418	0.0514318	0.109089	0.0855069	0.0634677	13.8231	0.998356	0.99958	1.00042	1.00164	13.8231	134.9545	0.05768894	-2.93535	0.4065965	0.1653207
90	-330.3877	-431.8333	101.4457	414870.2	0.0811953	0.0395615	0.0168833	0.0845293	0.060685	0.0263428	0.0532355	0.0372358	0.0576502	0.0125497	0.0317665	0.0207475	0.0115302	0.115038	0.0308353	0.0174777	0.0207025	0.0184446	0.0208356	0.0538779	0.0254247	0.0350108	0.0323338	0.035766	0.0773125	0.0601871	0.0267129	0.0212335	0.0201033	0.0424731	0.107348	0.0317818	0.0334864	0.0458752	0.0322141	0.0100341	0.0224747	0.0473955	0.0197244	0.0117703	0.0554674	0.0292761	0.103333	0.0188737	0.00572604	0.0250153	0.0164028	0.0715947	0.0186328	0.0551411	0.0336925	0.0483067	13.82824	0.998027	0.999495	1.0005	1.00197	13.82824	167.3749	0.05059914	-3.305762	0.8024225	0.6438819
