Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-773.767	-641.207	-132.56	711581.1	0.2870338	0.998494	0.999615	1.00038	1.00151	137.708
10	-769.444	-635.04	-134.404	900085.1	0.2250244	0.998661	0.999657	1.00034	1.00134	148.212
20	-762.274	-632.342	-129.932	203751.6	0.2190407	0.997185	0.999279	1.00072	1.00282	127.7886
30	-740.85	-614.704	-126.145	147925.6	0.3783465	0.996697	0.999154	1.00084	1.00331	111.5609
40	-737.61	-613.233	-124.377	472294.5	0.2756559	0.998151	0.999527	1.00047	1.00185	108.8736
50	-713.297	-598.103	-115.194	885796.8	0.3512239	0.99865	0.999655	1.00034	1.00135	82.02295
60	-709.2	-598.039	-111.161	673155.3	0.4601032	0.998451	0.999604	1.0004	1.00155	73.1673
70	-715.65	-596.16	-119.49	262820.7	0.3342083	0.997522	0.999366	1.00063	1.00248	94.15919
80	-705.718	-591.457	-114.261	516225.2	0.5027631	0.998231	0.999548	1.00045	1.00177	78.92719
90	-715.549	-595.091	-120.458	780614.9	0.4127439	0.998562	0.999632	1.00037	1.00144	95.42556
100	-706.737	-595.161	-111.576	449574.7	0.4195373	0.998105	0.999515	1.00048	1.0019	73.98961
110	-696.087	-590.284	-105.803	257115.2	0.5295793	0.997494	0.999359	1.00064	1.00251	62.18838
120	-679.371	-584.349	-95.0224	189131.3	0.7317333	0.997079	0.999252	1.00075	1.00292	44.80067
130	-662.032	-572.167	-89.8646	614548.9	0.9466865	0.998379	0.999585	1.00041	1.00162	38.11252
140	-630.346	-556.979	-73.3671	382923.5	1.153518	0.997947	0.999475	1.00052	1.00205	22.59406
150	-569.638	-521.666	-47.9721	231965.1	2.742716	0.997362	0.999325	1.00067	1.00264	10.54874
160	-499.58	-466.153	-33.4266	928286.8	4.761769	0.998681	0.999663	1.00034	1.00132	6.759661
170	-454.607	-429.989	-24.6189	577771.8	7.601552	0.998328	0.999572	1.00043	1.00167	5.031536
180	-445.396	-427.127	-18.2691	366965.5	6.070967	0.997902	0.999463	1.00054	1.0021	4.082428
190	-443.132	-422.773	-20.3598	537041.4	8.25726	0.998266	0.999556	1.00044	1.00174	4.430978
200	-446.343	-425.473	-20.8698	120733.1	6.580056	0.996344	0.999063	1.00093	1.00366	4.55019
210	-438.158	-422.984	-15.1744	152791.5	8.739237	0.99675	0.999168	1.00083	1.00325	3.796444
220	-443.086	-434.479	-8.60669	10930.17	10.09425	0.987868	0.996868	1.00308	1.01218	3.080567
230	-426.772	-417.129	-9.64328	152307.4	12.56188	0.996745	0.999166	1.00083	1.00326	3.093183
240	-433.913	-420.39	-13.5237	784061.6	9.98851	0.998565	0.999633	1.00037	1.00144	3.572769
250	-436.955	-421.182	-15.7727	124693.1	6.851493	0.996403	0.999078	1.00092	1.0036	3.812764
260	-438.3	-427.09	-11.2104	928626.9	10.28613	0.998681	0.999663	1.00034	1.00132	3.332909
270	-434.786	-423.082	-11.7045	849558.4	9.146624	0.998621	0.999647	1.00035	1.00138	3.403464
280	-430.411	-424.308	-6.10309	980140	9.847716	0.998716	0.999672	1.00033	1.00128	2.825604
290	-440.768	-426.879	-13.8882	674372.2	7.852917	0.998453	0.999604	1.00039	1.00155	3.634329
300	-449.839	-427.018	-22.8208	334249.8	5.058011	0.997802	0.999438	1.00056	1.0022	4.648986
310	-449.532	-426.971	-22.5612	486467.7	5.575711	0.998178	0.999534	1.00046	1.00182	4.728947
320	-442.83	-431.564	-11.2666	971985.4	8.573155	0.998711	0.99967	1.00033	1.00129	3.344192
330	-441.178	-421.447	-19.731	860677.3	7.740442	0.99863	0.99965	1.00035	1.00137	4.383385
340	-434.119	-419.251	-14.8675	485682.2	7.98238	0.998177	0.999534	1.00047	1.00182	3.762427
350	-432.837	-420.393	-12.4445	277993.5	9.082084	0.99759	0.999383	1.00061	1.00241	3.484822
360	-433.783	-421.005	-12.7773	840468.7	10.1647	0.998614	0.999646	1.00035	1.00139	3.490712
370	-429.654	-417.96	-11.6938	170561.1	8.088793	0.996924	0.999212	1.00078	1.00308	3.371975
380	-442.767	-424.107	-18.66	361037.9	6.851193	0.997885	0.999459	1.00054	1.00212	4.234154
390	-439.982	-423.228	-16.7537	733722.6	10.79331	0.998516	0.999621	1.00038	1.00148	3.827638
400	-438.809	-420.029	-18.7803	225440	6.691868	0.997324	0.999315	1.00068	1.00268	4.241675
410	-445.184	-426.451	-18.7334	86434.62	6.075602	0.99568	0.998892	1.0011	1.00433	4.15972
420	-434.546	-417.186	-17.3599	896403.1	7.514092	0.998658	0.999657	1.00034	1.00134	4.075553
430	-422.71	-412.55	-10.1598	103089.1	9.030463	0.996044	0.998986	1.00101	1.00396	3.232048
440	-437.869	-424.315	-13.5543	350844.5	10.01498	0.997855	0.999451	1.00055	1.00215	3.574574
450	-436.326	-423.204	-13.1216	286635.9	8.838734	0.997627	0.999393	1.00061	1.00238	3.56147
460	-436.788	-425.245	-11.5426	259674	9.258033	0.997507	0.999362	1.00064	1.0025	3.385765
