Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
56	0	-423.052	-414.398	-8.65382	125746.2	10.65932	0.996418	0.999082	1.00091	1.00359	3.079708
57	1	-430.411	-424.308	-6.10309	980140	9.847716	0.998716	0.999672	1.00033	1.00128	2.825604
58	0	-426.837	-417.267	-9.57009	83236.31	11.29477	0.995598	0.998871	1.00112	1.00441	3.145495
59	1	-440.768	-426.879	-13.8882	674372.2	7.852917	0.998453	0.999604	1.00039	1.00155	3.634329
60	0	-431.947	-419.771	-12.1757	797968.1	8.833936	0.998577	0.999636	1.00036	1.00142	3.454414
61	1	-449.839	-427.018	-22.8208	334249.8	5.058011	0.997802	0.999438	1.00056	1.0022	4.648986
62	0	-435.217	-416.774	-18.4437	569601.7	6.165372	0.998316	0.999569	1.00043	1.00168	4.127761
63	1	-449.532	-426.971	-22.5612	486467.7	5.575711	0.998178	0.999534	1.00046	1.00182	4.728947
64	0	-434.613	-417.646	-16.9671	642114.9	6.635445	0.998414	0.999594	1.0004	1.00159	3.964063
65	1	-442.83	-431.564	-11.2666	971985.4	8.573155	0.998711	0.99967	1.00033	1.00129	3.344192
66	0	-427.652	-419.127	-8.52566	693978.6	8.551822	0.998475	0.99961	1.00039	1.00153	3.022906
67	1	-441.178	-421.447	-19.731	860677.3	7.740442	0.99863	0.99965	1.00035	1.00137	4.383385
68	0	-424.191	-413.411	-10.7792	620220.9	8.405879	0.998386	0.999587	1.00041	1.00161	3.279375
69	1	-434.119	-419.251	-14.8675	485682.2	7.98238	0.998177	0.999534	1.00047	1.00182	3.762427
70	0	-431.502	-417.478	-14.024	411292.9	9.756698	0.998019	0.999493	1.00051	1.00198	3.634264
71	1	-432.837	-420.393	-12.4445	277993.5	9.082084	0.99759	0.999383	1.00061	1.00241	3.484822
72	0	-449.48	-428.613	-20.8668	967765.9	5.876296	0.998708	0.99967	1.00033	1.00129	4.483335
73	1	-433.783	-421.005	-12.7773	840468.7	10.1647	0.998614	0.999646	1.00035	1.00139	3.490712
74	0	-435.719	-418.379	-17.3399	424903.5	9.122719	0.998051	0.999501	1.0005	1.00195	4.021167
75	1	-429.654	-417.96	-11.6938	170561.1	8.088793	0.996924	0.999212	1.00078	1.00308	3.371975
76	0	-434.839	-419.989	-14.8494	274297.7	10.01805	0.997574	0.999379	1.00062	1.00243	3.703705
77	1	-442.767	-424.107	-18.66	361037.9	6.851193	0.997885	0.999459	1.00054	1.00212	4.234154
78	0	-436.284	-415.419	-20.8645	369631	5.053325	0.99791	0.999465	1.00053	1.00209	4.260292
79	1	-439.982	-423.228	-16.7537	733722.6	10.79331	0.998516	0.999621	1.00038	1.00148	3.827638
80	0	-435.906	-421.705	-14.201	233024.7	8.064638	0.997368	0.999326	1.00067	1.00263	3.68132
81	1	-438.809	-420.029	-18.7803	225440	6.691868	0.997324	0.999315	1.00068	1.00268	4.241675
82	0	-435.11	-418.297	-16.813	118732.3	7.329527	0.996314	0.999055	1.00094	1.00369	3.996638
83	1	-445.184	-426.451	-18.7334	86434.62	6.075602	0.99568	0.998892	1.0011	1.00433	4.15972
84	0	-431.555	-417.855	-13.6997	889773.6	8.21606	0.998653	0.999655	1.00034	1.00135	3.623489
85	1	-434.546	-417.186	-17.3599	896403.1	7.514092	0.998658	0.999657	1.00034	1.00134	4.075553
86	0	-438.12	-420.612	-17.508	592266	6.624994	0.998349	0.999578	1.00042	1.00165	4.044427
87	1	-422.71	-412.55	-10.1598	103089.1	9.030463	0.996044	0.998986	1.00101	1.00396	3.232048
88	0	-442.452	-425.153	-17.299	709082	6.252885	0.998491	0.999614	1.00039	1.00151	3.958516
89	1	-437.869	-424.315	-13.5543	350844.5	10.01498	0.997855	0.999451	1.00055	1.00215	3.574574
90	0	-435.062	-418.773	-16.2889	216230.4	8.279521	0.997268	0.9993	1.0007	1.00273	3.937574
91	1	-436.326	-423.204	-13.1216	286635.9	8.838734	0.997627	0.999393	1.00061	1.00238	3.56147
92	0	-442.597	-424.711	-17.8865	252672.9	7.492591	0.997472	0.999353	1.00064	1.00253	4.145491
93	1	-436.788	-425.245	-11.5426	259674	9.258033	0.997507	0.999362	1.00064	1.0025	3.385765
94	0	-427.95	-417.295	-10.6545	390244.4	9.728299	0.997966	0.99948	1.00052	1.00204	3.289206
95	1	-434.572	-419.022	-15.5497	448427.2	8.424305	0.998102	0.999515	1.00048	1.0019	3.846628
96	0	-444.581	-427.288	-17.293	467365.2	6.320109	0.998141	0.999524	1.00047	1.00186	3.969176
97	1	-434.578	-421.438	-13.1392	551985.4	11.1747	0.99829	0.999562	1.00044	1.00171	3.469272
98	0	-436.332	-418.39	-17.9426	268944.7	6.932207	0.99755	0.999373	1.00062	1.00245	4.134809
99	1	-434.246	-419.975	-14.2716	771037.6	6.540298	0.998553	0.99963	1.00037	1.00145	3.539642
100	0	-441.602	-422.089	-19.5123	953385.8	7.969161	0.998698	0.999667	1.00033	1.0013	4.34498
101	1	-430.681	-421.365	-9.31645	739718.3	9.13218	0.998522	0.999622	1.00038	1.00148	3.14195
102	0	-434.855	-420.945	-13.9099	5259.692	10.66449	0.982528	0.995469	1.00442	1.01758	3.572479
103	1	-443.56	-422.752	-20.8074	259664.4	6.601818	0.997507	0.999362	1.00064	1.0025	4.541585
104	0	-431.824	-420.418	-11.4063	598422.1	12.11903	0.998357	0.99958	1.00042	1.00164	3.26127
105	1	-436.64	-422.131	-14.5089	480413.7	8.841203	0.998167	0.999531	1.00047	1.00183	3.71837
106	0	-430.5	-417.648	-12.8515	924184.4	9.622664	0.998678	0.999662	1.00034	1.00132	3.518386
107	1	-433.299	-423.569	-9.73051	607550.2	8.832729	0.99837	0.999583	1.00042	1.00163	3.177565
108	0	-437.907	-422.166	-15.7412	768031	10.00516	0.99855	0.999629	1.00037	1.00145	3.793625
109	1	-433.567	-419.467	-14.1004	437742.6	10.79023	0.998079	0.999509	1.00049	1.00192	3.582023
110	0	-428.454	-421.456	-6.99742	68350.59	10.66419	0.995142	0.998754	1.00124	1.00487	2.9243
111	1	-427.12	-415.787	-11.3327	632401.7	7.138641	0.998402	0.999591	1.00041	1.0016	3.219172
112	0	-438.587	-425.844	-12.7428	202452.8	13.35713	0.997176	0.999277	1.00072	1.00283	3.280821
113	1	-434.247	-419.356	-14.8906	994071	8.667322	0.998725	0.999674	1.00033	1.00128	3.765394
114	0	-429.774	-419.738	-10.0359	52809.98	7.760127	0.994474	0.998582	1.00141	1.00554	3.133212
115	1	-435.518	-421.689	-13.829	377987.3	7.95074	0.997933	0.999471	1.00053	1.00207	3.631095
116	0	-445.64	-426.948	-18.6922	74801.16	7.877089	0.995356	0.998809	1.00118	1.00465	4.245315
117	1	-451.307	-432.071	-19.236	585097.9	6.894461	0.998339	0.999575	1.00042	1.00166	4.320005
118	0	-438.698	-426.793	-11.9044	590609.7	9.950261	0.998346	0.999577	1.00042	1.00165	3.411815
119	1	-439.058	-427.194	-11.8636	329871.7	8.440496	0.997788	0.999434	1.00056	1.00221	3.409649
120	0	-428.441	-419.023	-9.41846	665295.1	9.499306	0.998442	0.999602	1.0004	1.00156	3.160453
121	1	-432.742	-424.124	-8.6177	551195.6	9.938744	0.998288	0.999562	1.00044	1.00171	3.081455
122	0	-436.584	-418.327	-18.2565	592827.3	9.706915	0.99835	0.999578	1.00042	1.00165	4.072567
123	1	-433.616	-422.114	-11.5021	435958.1	12.02234	0.998076	0.999508	1.00049	1.00193	3.275091
124	0	-435.704	-418.816	-16.8882	111060.2	8.192854	0.996188	0.999023	1.00097	1.00382	4.0121
125	1	-433.998	-423.844	-10.1539	369562.9	8.339077	0.99791	0.999465	1.00053	1.00209	3.200692
126	0	-430.342	-417.046	-13.2962	150141.7	8.221556	0.996721	0.99916	1.00084	1.00328	3.574533
127	1	-442.558	-423.459	-19.0985	322889.3	8.656566	0.997764	0.999428	1.00057	1.00224	4.251682
128	0	-427.718	-413.949	-13.7687	433945.1	8.855713	0.998071	0.999506	1.00049	1.00193	3.634485
129	1	-435.314	-422.603	-12.7118	850776.8	9.638994	0.998622	0.999648	1.00035	1.00138	3.503403
130	0	-434.196	-415.272	-18.9245	448390.3	9.828126	0.998102	0.999515	1.00048	1.0019	4.129512
131	1	-427.285	-414.754	-12.5309	375004.9	12.62205	0.997925	0.999469	1.00053	1.00208	3.318755
132	0	-432.324	-427.1	-5.22396	881217.3	12.42057	0.998646	0.999654	1.00035	1.00135	2.744787
133	1	-439.252	-417.834	-21.4179	597494.9	5.162099	0.998356	0.99958	1.00042	1.00164	4.409653
134	0	-440.096	-425.89	-14.2054	920098.2	12.77295	0.998675	0.999661	1.00034	1.00133	3.438985
135	1	-436.174	-416.969	-19.205	720529.6	7.567899	0.998503	0.999617	1.00038	1.0015	4.320084
136	0	-435.226	-422.913	-12.3126	360186.3	8.834033	0.997883	0.999458	1.00054	1.00212	3.469902
137	1	-432.506	-426.015	-6.49186	173708.6	14.21232	0.996952	0.999219	1.00078	1.00305	2.775641
138	0	-434.103	-415.297	-18.8065	744247.3	7.16969	0.998527	0.999623	1.00038	1.00147	4.266756
139	1	-436.558	-424.281	-12.2775	488818.1	13.61335	0.998183	0.999535	1.00046	1.00182	3.227185
140	0	-436.542	-418.228	-18.3141	502364.4	6.159435	0.998207	0.999541	1.00046	1.00179	4.105735
141	1	-418.852	-414.785	-4.06648	629907.4	10.63272	0.998399	0.99959	1.00041	1.0016	2.648722
142	0	-443.254	-426.104	-17.1497	838303.3	8.728801	0.998612	0.999645	1.00035	1.00139	4.022995
143	1	-426.239	-414.359	-11.8796	574512.7	10.32383	0.998324	0.999571	1.00043	1.00168	3.396523
144	0	-432.184	-423.156	-9.02847	776068.7	12.70781	0.998557	0.999631	1.00037	1.00144	3.03698
145	1	-424.087	-416.282	-7.8048	360913.8	13.67251	0.997885	0.999459	1.00054	1.00212	2.895691
146	0	-428.843	-419.843	-8.99943	849200.1	9.295329	0.998621	0.999647	1.00035	1.00138	3.112053
147	1	-428.22	-414.177	-14.0436	652221.2	8.418531	0.998427	0.999598	1.0004	1.00157	3.667809
148	0	-435.87	-425.334	-10.5357	293379	9.573721	0.997654	0.9994	1.0006	1.00235	3.277928
149	1	-433.026	-422.377	-10.6492	663115.6	11.73241	0.998439	0.999601	1.0004	1.00156	3.219602
