Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
590	-438.698	-426.793	-11.9044	590609.7	9.950261	0.998346	0.999577	1.00042	1.00165	3.411815
600	-428.441	-419.023	-9.41846	665295.1	9.499306	0.998442	0.999602	1.0004	1.00156	3.160453
610	-436.584	-418.327	-18.2565	592827.3	9.706915	0.99835	0.999578	1.00042	1.00165	4.072567
620	-435.704	-418.816	-16.8882	111060.2	8.192854	0.996188	0.999023	1.00097	1.00382	4.0121
630	-430.342	-417.046	-13.2962	150141.7	8.221556	0.996721	0.99916	1.00084	1.00328	3.574533
640	-427.718	-413.949	-13.7687	433945.1	8.855713	0.998071	0.999506	1.00049	1.00193	3.634485
650	-434.196	-415.272	-18.9245	448390.3	9.828126	0.998102	0.999515	1.00048	1.0019	4.129512
660	-432.324	-427.1	-5.22396	881217.3	12.42057	0.998646	0.999654	1.00035	1.00135	2.744787
670	-440.096	-425.89	-14.2054	920098.2	12.77295	0.998675	0.999661	1.00034	1.00133	3.438985
680	-435.226	-422.913	-12.3126	360186.3	8.834033	0.997883	0.999458	1.00054	1.00212	3.469902
690	-434.103	-415.297	-18.8065	744247.3	7.16969	0.998527	0.999623	1.00038	1.00147	4.266756
700	-436.542	-418.228	-18.3141	502364.4	6.159435	0.998207	0.999541	1.00046	1.00179	4.105735
710	-443.254	-426.104	-17.1497	838303.3	8.728801	0.998612	0.999645	1.00035	1.00139	4.022995
720	-432.184	-423.156	-9.02847	776068.7	12.70781	0.998557	0.999631	1.00037	1.00144	3.03698
730	-428.843	-419.843	-8.99943	849200.1	9.295329	0.998621	0.999647	1.00035	1.00138	3.112053
740	-435.87	-425.334	-10.5357	293379	9.573721	0.997654	0.9994	1.0006	1.00235	3.277928
750	-434.928	-419.654	-15.2743	88962.15	6.723925	0.995742	0.998908	1.00109	1.00426	3.72253
760	-438.087	-420.16	-17.9267	26368.35	10.5783	0.992183	0.99799	1.00199	1.00784	3.957624
770	-426.559	-420.022	-6.53696	170086.5	10.66312	0.99692	0.999211	1.00079	1.00308	2.88112
780	-431.458	-419.262	-12.1953	35786.94	9.665871	0.993289	0.998276	1.00171	1.00673	3.449172
790	-443.35	-424.994	-18.3565	8243.943	7.862141	0.986035	0.99639	1.00354	1.01403	4.203091
800	-448.648	-429.376	-19.2729	922035	7.866564	0.998677	0.999662	1.00034	1.00132	4.319466
810	-436.951	-421.404	-15.547	558951.5	6.303995	0.9983	0.999565	1.00043	1.0017	3.689501
820	-447.408	-423.966	-23.4422	846894.2	4.487901	0.998619	0.999647	1.00035	1.00138	4.524073
830	-440.247	-420.759	-19.4885	8197.39	7.368779	0.985996	0.996379	1.00355	1.01407	4.361292
840	-437.699	-419.991	-17.7081	129335.4	7.589329	0.996468	0.999095	1.0009	1.00354	4.122376
850	-441.307	-424.337	-16.9697	845636.7	8.453633	0.998618	0.999647	1.00035	1.00138	4.014126
860	-436.567	-421.386	-15.1814	431202	11.26856	0.998065	0.999505	1.00049	1.00194	3.644436
870	-435.871	-422.632	-13.2385	536775.4	11.24157	0.998266	0.999556	1.00044	1.00174	3.473797
880	-449.204	-431.814	-17.3904	725775.5	5.773436	0.998508	0.999619	1.00038	1.00149	3.863693
890	-433.033	-418.874	-14.1589	451407.1	9.236324	0.998109	0.999516	1.00048	1.00189	3.66907
900	-430.61	-420.324	-10.2858	464906	8.811321	0.998136	0.999523	1.00048	1.00186	3.239707
910	-430.05	-418.11	-11.94	838696.6	11.27732	0.998612	0.999645	1.00035	1.00139	3.356298
920	-438.074	-415.194	-22.88	406325.6	5.853603	0.998007	0.99949	1.00051	1.00199	4.823606
930	-431.877	-420.119	-11.758	823142.5	10.69374	0.998599	0.999642	1.00036	1.0014	3.369379
940	-428.865	-415.542	-13.3238	241187.9	7.516095	0.997413	0.999338	1.00066	1.00259	3.538597
950	-424.379	-415.475	-8.90353	855918.3	8.629598	0.998626	0.999649	1.00035	1.00137	3.072268
960	-430.065	-417.327	-12.7376	958636.6	9.381669	0.998702	0.999668	1.00033	1.0013	3.512545
970	-434.712	-416.26	-18.4519	271068.9	8.250947	0.99756	0.999375	1.00062	1.00244	4.200225
980	-431.181	-420.489	-10.6916	833358.8	9.089226	0.998608	0.999644	1.00036	1.00139	3.291922
990	-428.122	-410.806	-17.3165	890557.3	5.456171	0.998653	0.999656	1.00034	1.00135	3.744603
1000	-427.234	-420.076	-7.15858	292071.5	13.28918	0.997649	0.999398	1.0006	1.00235	2.865744
1010	-435.486	-421.817	-13.6692	421859.6	12.97056	0.998044	0.999499	1.0005	1.00196	3.381267
1020	-432.829	-419.464	-13.3649	262494.7	8.878746	0.99752	0.999365	1.00063	1.00248	3.588713
1030	-435.573	-419.531	-16.0421	32696.43	7.374861	0.992979	0.998196	1.00179	1.00704	3.893903
1040	-428.36	-416.231	-12.1284	685411.9	11.44214	0.998465	0.999607	1.00039	1.00154	3.363376
1050	-432.297	-418.668	-13.629	626224.1	12.13429	0.998394	0.999589	1.00041	1.00161	3.44351
1060	-441.395	-428.822	-12.573	707301.6	7.010331	0.998489	0.999614	1.00039	1.00151	3.373291
1070	-433.43	-418.305	-15.1249	782799	8.258183	0.998564	0.999633	1.00037	1.00144	3.796997
1080	-433.221	-418.762	-14.4593	638185.2	15.02112	0.998409	0.999593	1.00041	1.00159	3.267433
1090	-426.43	-411.212	-15.218	955780.1	6.764782	0.9987	0.999668	1.00033	1.0013	3.720071
1100	-426.923	-416.132	-10.7907	989127.8	10.37103	0.998722	0.999673	1.00033	1.00128	3.289678
